Category,Subcategory,Value,Description,Fact,Fact alternative/ old version,Support,Support Alternative/ old version,Opposition,Opposition Alternative/ old version,Who checked it,Notes
Equality & non-discrimination,Constitution (sexual orientation),0.16,"Constitution (sexual orientation) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sexual orientation in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sexual orientation is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sexual orientation, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)",Does the Constitution prohibit discrimination based on sexual orientation?,,Should the Constitution prohibit discrimination based on sexual orientation?,,Should the Constitution not prohibit discrimination based on sexual orientation?,,"Mae, Davide",
Equality & non-discrimination,Employment (sexual orientation),1.1,Employment (sexual orientation) covers employment anti-discrimination legislation. Only express mention of sexual orientation should be counted.,Is sexual orientation explicitly included in employment anti-discrimination legislation?,Is there an employment anti-discrimination legislation based on sexual orientation?,Should sexual orientation be explictly included in employment anti-discrimination legislation?,Is sexual orientation included in employment anti-discrimination legislation?,Should sexual orientation be excluded in employment anti-discrimination legislation?,Should sexual orientation be excluded in employment anti-discrimination legislation?,"Mae, Davide",x Davide: I'm leaning more towards the first opposition than the second
Equality & non-discrimination,Goods & services (sexual orientation),1.1,Goods & services (sexual orientation) covers goods and services anti-discrimination legislation. Only express mention of sexual orientation only should be counted.,Is sexual orientation explicitly included in goods and services anti-discrimination legislation?,Is there a goods and services anti-discrimination legislation that prohibits discrimination based on sexual orientation?,Should sexual orientation be explicitly included in goods and services anti-discrimination legislation?,Should there be a goods and services anti-discrimination legislation that prohibits discrimination based on sexual orientation?,Should sexual orientation be exluded in goods and services anti-discrimination legislation?,Should there not be a goods and services anti-discrimination legislation that prohibits discrimination based on sexual orientation?,"Mae, Davide",
Equality & non-discrimination,Education (sexual orientation),1.1,Education (sexual orientation) covers legislation prohibiting discrimination in the field of education. Only express mention of sexual orientation only should be counted.,Is discrimination based on sexual orientation in the field of education prohibited by legislation?,Is there legislation that prohibits discrimination based on sexual orientation in the field of education?,Should discrimination based on sexual orientation in the field of education be prohibited by legislation?,Should sexual orientation be explicitly prohibited as a ground of discrimination in the field of education?,Should discrimination based on sexual orientation in the field of education be permitted by legislation?,Should sexual orientation be permitted as a ground of discrimination in the field of education?,"Mae, Davide","Davide: What about ""Is/Should/Should not discrimination on sexual orientation in education explicitly prohibited by law?"""
Equality & non-discrimination,Health (sexual orientation),1.1,Health (sexual orientation) covers legislation prohibiting discrimination in the field of health. Only express mention of sexual orientation only should be counted.,Is discrimination based on sexual orientation in the field of health prohibited by legislation?,Is sexual orientation explicitly prohibited as a ground of discrimination in the field of health?,Should discrimination based on sexual orientation in the field of health be prohibited by legislation?,Should sexual orientation be explicitly prohibited as a ground of discrimination in the field of health?,Should discrimination based on sexual orientation in the field of health be permitted by legislation?,Should sexual orientation be permitted as a ground of discrimination in the field of health?,"Mae, Davide","Davide: What about ""Is/Should/Should not discrimination on sexual orientation in health explicitly prohibited by law?"""
Equality & non-discrimination,Conversion practices ban (sexual orientation),0.8,Conversion practices ban (sexual orientation) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that homosexuality/bisexuality per se is a mental disorder or based upon the a priori assumption that a patient should change their sexual orientation.,Are there legislation or policies that prohibits conversion or reparative practices aimed at changing a minor’s sexual orientation?,,Should legislation or policies that allow conversion or reparative practices aimed at changing a minor’s sexual orientation be banned?,,Should legislation or policies allow conversion or reparative practices aimed at changing a minor’s sexual orientation?,Should there be legislation or policies that allow conversion or reparative practices aimed at changing a minor’s sexual orientation?,"Mae, Davide","Davide: Perhaps the opposition can be expressed as a negation?
Mae: see how I went from Opposition alternative to Opposition; there is no need for negation, removing ""be banned"" should be sufficient (?)"
Equality & non-discrimination,Equality body mandate (sexual orientation),0.78,"Equality body mandate (sexual orientation) covers when a national human rights institution / equality body is explicitly mandated to work on sexual orientation in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sexual orientation.",Are national human rights institutions or equality bodies explicitly mandated to address and systematically working on issues related to sexual orientation?,Are national human rights institutions or equality bodies explicitly mandated to address issues related to sexual orientation?,Should national human rights institutions or equality bodies be explicitly mandated to address and systematically working on issues related to sexual orientation?,,Should national human rights institutions or equality bodies not be mandated to address issues related to sexual orientation?,Should national human rights institutions or equality bodies not be mandated to address issues related to sexual orientation?,"Mae, Davide",
Equality & non-discrimination,Equality action plan (sexual orientation),0.88,"Equality action plan (sexual orientation) covers action plans which expressly include sexual orientation, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure",Is there an equality action plan that explicitly includes sexual orientation and specific measures for progress?,"Is there a national equality action plan that explicitly includes sexual orientation and contains concrete implementation measures (monitoring, resources, responsibilities)?",Should there be an equality action plan that explicitly includes sexual orientation and specific measures for progress?,"Should there be a national action plan that explicitly includes sexual orientation and sets concrete measures, resources, responsibilities, and monitoring?",Should sexual orientation be excluded in equality action plans?,,"Mae, Davide","Davide: I agree with the symplification, but we should indicate this in the paper (we don't know whether the LLM follows those guidelines)
Mae: my main idea is to provide these guidelines in appendix, so every transformation is clear:Building the Rainbow Meter"
Equality & non-discrimination,Constitution (gender identity),0.16,"Constitution (gender identity) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes gender identity in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on gender identity is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on gender identity, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)",Does the Constitution prohibit discrimination based on gender identity?,Does the constitution contain provisions that prohibit discrimination based on gender identity?,Should the Constitution prohibit discrimination based on gender identity?,Should the constitution explicitly or effectively prohibit discrimination based on gender identity?,Should the Constitution not prohibit discrimination based on geneder identity?,,"Mae, Davide",
Equality & non-discrimination,Employment (gender identity),1.1,"Employment (gender identity) covers employment anti-discrimination legislation. Express mention of gender identity only should be counted. Equivalent ground e.g. sexual identity, gender reassignment, etc accepted too.",Is gender identity explicitly included in employment anti-discrimination legislation?,Is there an employment anti-discrimination law based on gender identity (or equivalent grounds such as gender reassignment or sexual identity)?,Should gender identity be explictly included in employment anti-discrimination legislation?,Should there be employment anti-discrimination laws that explicitly prohibit discrimination based on gender identity?,Should gender identity be exluded in employment anti-discrimination legislation?,,"Mae, Davide",
