Model;language_scenario;country_scenario;language_country_scenario;Average
Qwen3.5 2B;0.72 75.0\%;0.72 80.0\%;0.71 81.0\%;0.72 79.0\%
Qwen3.5 9B;0.66 70.0\%;0.45 34.0\%;0.57 55.0\%;0.56 53.0\%
Qwen3.5 27B;0.61 69.0\%;0.43 34.0\%;0.51 50.0\%;0.52 51.0\%
LlaMa 3.2 3B;0.61 75.0\%;0.58 67.0\%;0.62 73.0\%;0.6 72.0\%
LlaMa 3.1 8B;0.65 73.0\%;0.63 72.0\%;0.63 72.0\%;0.64 72.0\%
LlaMa 3.1 70B;0.67 66.0\%;0.58 62.0\%;0.67 80.0\%;0.64 69.0\%
DeepSeek-V3.2;0.57 62.0\%;0.42 28.0\%;0.47 45.0\%;0.49 45.0\%
Sonnet 4.6;0.54 55.0\%;0.34 42.0\%;0.35 36.0\%;0.41 44.0\%
GPT 5.4;0.66 70.0\%;0.36 34.0\%;0.4 42.0\%;0.47 49.0\%
Gemini 3 Flash;0.57 61.0\%;0.33 27.0\%;0.41 38.0\%;0.44 42.0\%
